id,t-search,t-entry,e-entry,t-cat,t-syn,t-sample,t-ant,t-def,e-related,t-num,notes
153,จัดระเบียบ,จัดระเบียบ,organize,V,,ยังไม่มีหน่วยงานใดเข้าไปจัดระเบียบดูแลแรงงานอพยพทำให้มีปัญหาการทะเลาะวิวาทและการลักเล็กขโมยน้อยเกิดขึ้นอยู่บ่อยครั้ง,,จัดการให้เป็นระเบียบ,arrange; systematize,,
154,จับจ้อง,จับจ้อง,watch,V,จ้อง,สายตาทุกคู่หันมาจับจ้องเขามีแววสงสัยเหมือนอย่างอยากรู้เรื่องที่เขากำลังพูดอยู่,,,gaze; stare,,
155,จับอกจับใจ,จับอกจับใจ,impress,V,"จับจิตจับใจ, ติดใจ, พอใจ",นักร้องขับขานเนื้อร้องและสร้างลีลาให้กับทำนองบทเพลงเพื่อจับอกจับใจคนฟังได้ดียิ่ง,,,imprint; please,,
156,จากนี้,จากนี้,from this moment,ADV,,นับจากนี้ถึงเดือนกันยายนจะมีการเปลี่ยนแปลงของกรมตำรวจจึงน่าที่จะจับตาดูว่าใครจะเข้ามารับตำแหน่งสำคัญ,,,since; till now,,
157,จ้างงาน,จ้างงาน,employ,V,ว่าจ้าง,เศรษฐกิจที่กำลังฟื้นตัวส่งผลให้บริษัทจ้างงานพนักงานเพิ่มขึ้นกว่าปีก่อน,,ให้ทำงานหรือทำของโดยให้ค่าตอบแทน,hire; contract; procure,,
158,จุดดี,จุดดี,good point,N,"ข้อดี, จุดเด่น, จุดแข็ง",การจัดระเบียบแฟ้มข้อมูลแบบตามลำดับกับแบบทางตรงต่างก็มีจุดดีและจุดอ่อนไปคนละด้าน,"จุดด้อย, ข้อด้อย, จุดอ่อน",,strength; advantage; benefit,,
159,ช่วงใดช่วงหนึ่ง,ช่วงใดช่วงหนึ่ง,certain session,N,,ความเร็วที่วัดได้มาจากความเร็วช่วงใดช่วงหนึ่งที่รถเคลื่อนที่,,,particular session,,
160,ช่วงอายุ,ช่วงอายุ,span of age,N,,เด็กจะส่งเสียงอืออาเลียนเสียงตัวเองในช่วงอายุ 4-6 เดือน,,ช่วงของอายุ,span of life,,
161,ชักจูงใจ,ชักจูงใจ,persuade,V,"ชักจูง, ชักนำ",การได้รับการเลือกตั้งครั้งนี้มาจากความสำเร็จของหัวคะแนนที่ชักจูงใจให้ชาวบ้านลงคะแนนเสียงให้แก่ผู้สมัครที่ตนสนับสนุน,,,induce; convince; influence,,
162,ชั้นผู้น้อย,ชั้นผู้น้อย,subordinate,N,,ในปัจจุบันข้าราชการส่วนใหญ่โดยเฉพาะข้าราชการผู้น้อยยังมีรายได้ไม่เพียงพอต่อการดำรงชีพ,ชั้นผู้ใหญ่,"ผู้น้อย, ผู้ที่มียศต่ำกว่า, คนที่อยู่ใต้บังคับบัญชา",inferior; low ranker,,
163,ช่างมันเถอะ,ช่างมันเถอะ,Let it be!,INT,,ช่างมันเถอะคุณก็รู้อยู่แล้วว่าหนังสือพิมพ์กับโทรทัศน์บ้านเราชอบเสนอข่าวแบบไหน,,,So be it!,,
164,ชาติปางก่อน,ชาติปางก่อน,past life,N,"ชาติก่อน, อดีตชาติ, อดีตภพ",เราคงที่มีเรื่องไม่ถูกกันมาแต่ชาติปางก่อนถึงได้ทะเลาะกันอยู่เรื่อย,,ชาติที่แล้ว,former life; previous life,,
165,ชาติมหาอำนาจ,ชาติมหาอำนาจ,powerful country,N,,ญี่ปุ่นเจริญรุดหน้าไปไกลจนได้ชื่อว่าเป็นชาติมหาอำนาจทางเศรษฐกิจ,,ประเทศที่มีพลังทางด้านเศรษฐกิจหรือทางอาวุธสูง,advanced country; developed country,,
166,ชาวชนบท,ชาวชนบท,rustic,N,"คนต่างจังหวัด, คนบ้านนอก",ชาวชนบทยังนิยมยาและการรักษาพยาบาลแบบโบราณในขณะที่ชาวเมืองสนใจการรักษาพยาบาลสมัยใหม่,"ชาวกรุง, คนเมือง, คนกรุง",,rural people; countryman,,
167,ชำระสะสาง,ชำระสะสาง,clear work,V,สะสาง,ผมเอางานที่คั่งค้างอยู่บนโต๊ะออกมาชำระสะสางให้เรียบร้อย,,ทำเรื่องที่มีปัญหาหรือสิ่งที่สะสมหมักหมมอยู่ให้หายยุ่ง,,,
168,ชุดกันเปื้อน,ชุดกันเปื้อน,apron,N,ผ้ากันเปื้อน,การสวมชุดกันเปื้อนในเวลาทำงานช่วยให้เสื้อผ้าไม่สกปรกมาก,,,,,
169,ซึ้งใจ,ซึ้งใจ,be impressed with,V,ซาบซึ้งใจ,หล่อนเป็นผู้หญิงที่ฉันซึ้งใจในความเป็นแม่ผู้ประเสริฐเพราะไม่ว่าลูกจะทุกข์จะสุข หล่อนก็พร้อมที่จะช่วยเหลือเสมอ,,รู้สึกเอิบอาบซาบซ่านแผ่ไปทั่วร่างกายและจิตใจ,,,
170,ซึมลึก,ซึมลึก,embed one's fame,V,,พรรคต้องการให้ชื่อเสียงของพรรคซึมลึกถึงก้นบึ้งจิตใจของชาวบ้านเพื่อเรียกร้องคะแนนเสียงเทให้กับผู้สมัครของพรรค,,เข้าไปถึงส่วนภายในของสรรพสิ่ง,deeply penetrate,,
171,ซื่อบื้อ,ซื่อบื้อ,be stupid,V,"บื้อ, ทึ่ม, โง่",ผู้หญิงที่ไหนจะมาชอบเขาซื่อบื้อออกยังงี้,,,be absurd; be inane; be foolish; be senseless; be dull,,
172,ซื้อเวลา,ซื้อเวลา,buy some time,V,ยืดเวลา,ก่อนที่จะเปิดฉากรบในช่วงนี้ผู้นำทำเนียบขาวพยายามซื้อเวลาด้วยการแอบเจรจาลับกับผู้นำแบกแดดเพื่อขอเจรจาอย่างสันติด,,พยามถ่วงเวลาให้นานออกไป,delay some time; extend some time,,
173,ซื้อเสียง,ซื้อเสียง,buy votes,V,,ในช่วงของการเลือกตั้งยังมีการใช้จ่ายเงินอย่างมากมายมหาศาลของผู้สมัครเพื่อซื้อเสียงเพื่อให้ตนเองได้รับการเลือกตั้ง,,จ่ายเงินเพื่อแลกกับคะแนนเสียงเลือกตั้งของประชาชน,,,
174,ด้วยเหตุฉะนี้,ด้วยเหตุฉะนี้,consequently,CONJ,"เพราะเหตุฉะนี้, เพราะเหตุนี้, เพราะฉะนี้",เขาป่วยไปเล็กน้อยด้วยเหตุฉะนี้เขาจึงไม่มา,,,thus; therefore; for this reason,,
175,ดอกไม้สด,ดอกไม้สด,fresh flower,N,,ยอดใบตองจีบบนพานมีดอกไม้สดประดับอยู่,,,,,
176,ดอกไม้แห้ง,ดอกไม้แห้ง,dry flower,N,,เธอกรอกกลีบดอกไม้แห้งอบหอมลงถุงผ้าโปร่งรูปหัวใจเพื่อทำของชำร่วย,,,,,
177,ด้อยค่า,ด้อยค่า,devalue,V,,สิ่งที่ทำให้งานเขียนของเธอด้อยค่าลงนั้นเป็นเรื่องการใช้ภาษาธรรมดาๆ ไม่ใช่ภาษาเฉพาะแบบในงานกวี,มีค่า,ไม่มีค่า,devaluate,,
178,ด้อยโอกาส,ด้อยโอกาส,have no chance,V,,การพัฒนาชุมชนมักมุ่งสู่ชุมชนชนบทอันเป็นชุมชนที่ด้อยโอกาสทางสังคมหรือเสียเปรียบสังคม,,ไม่มีโอกาส,,,
179,ดังใจ,ดังใจ,expect,V,,คุณจะเอาอะไรให้ได้ดังใจเสมอไปไม่ได้,,ได้ดังที่ใจหวังไว้,hope; desire,,
180,ดัดแปลงแก้ไข,ดัดแปลงแก้ไข,adapt,V,ดัดแปลง,ชาวญี่ปุ่นได้นำลูกคิดหินของชาวจีนมาดัดแปลงแก้ไขเป็นลูกคิดโดยใช้วัสดุอื่นแทนลูกหินและใช้โลหะแทนเชือก,,เปลี่ยนแปลงให้ต่างไปจากสภาพเดิม,adjust; modify,,
181,ด่าว่า,ด่าว่า,scold,V,"ดุด่า, ดุด่าว่ากล่าว",เขาด่าว่าผมในหนังสือพิมพ์โดยปราศจากเหตุผล,,ใช้ถ้อยคำว่าคนอื่น,reprimand; censure; rebuke; reproach,,
182,ดำรงตำแหน่ง,ดำรงตำแหน่ง,take a position of,V,,ผมได้รับการโปรดเกล้าฯ แต่งตั้งให้ดำรงตำแหน่งเสนาธิการทหารบก,,"ทำหน้าที่เป็น, ได้รับหน้าที่เป็น",take up; take a post of,,
183,ดึกสงัด,ดึกสงัด,late night,N,,เสียงสุนัขหอนในยามดึกสงัดทำให้ฉันขนลุก,,ยามดึกที่เงียบสงัด,,,
184,ดุ๊กดิ๊ก,ดุ๊กดิ๊ก,ceaselessly,ADV,,สุนัขแกว่งหางดุ๊กดิ๊กเมื่อเห็นเจ้าของของมัน,,ลักษณะอาการไม่อยู่นิ่ง,non-stop; continuously; without cease,,
185,ดุเด็ดเผ็ดมัน,ดุเด็ดเผ็ดมัน,furiously,ADV,"ดุเดือด, รุนแรง, ร้ายแรง, ดุเดือดเลือดพล่าน",การเลือกตั้งครั้งนี้เป็นการขับเคี่ยวกันอย่างดุเด็ดเผ็ดมันระหว่างเจ้าของพื้นที่เดิมกับผู้สมัครหน้าใหม่,,,violently; intensely,,
186,ดุเดือดเลือดพล่าน,ดุเดือดเลือดพล่าน,furiously,ADV,"ดุเดือด, รุนแรง, ร้ายแรง, ดุเด็ดเผ็ดมัน",ทั้งฝ่ายรัฐบาลและฝ่ายค้านโจมตีและตอบโต้กันอย่างดุเดือดเลือดพล่าน,,,violently; intensely; unrestrained,,
187,ดูโทรทัศน์,ดูโทรทัศน์,watch television,V,ดูทีวี,เด็กๆ ยังทำการบ้านกันไม่เสร็จจึงอดดูโทรทัศน์,,,watch TV,,
188,ดูแลเอาใจใส่,ดูแลเอาใจใส่,take care of,V,เอาใจใส่ดูแล,ลูกน้อยใจที่แม่ไม่ดูแลเอาใจใส่,,,look after; nurture; raise; sustain; bring up; foster,,
189,ตกกระไดพลอยโจน,ตกกระไดพลอยโจน,confess,V,,เขาปฏิเสธไม่ได้จนต้องตกกระไดพลอยโจนรับผิดทั้งที่ไม่ได้เป็นคนทำ,,จำเป็นที่จะต้องยอมเข้าไปเกี่ยวข้องกับเหตุการณ์ที่เกิดขึ้นเมื่อไม่มีทางเลี่ยง,follow through after a false step,,(สำนวน)
190,ตกที่นั่งลำบาก,ตกที่นั่งลำบาก,be in trouble,V,,กลุ่มมุสลิมหัวรุนแรงกำลังตกที่นั่งลำบากในการถูกตราหน้าจากชาวโลกว่าเป็นตัวการขัดขวางไม่เกิดสันติภาพในตะวันออกกลาง,,อยู่ในฐานะลำบาก,,,(สำนวน)
191,ตกน้ำ,ตกน้ำ,sink,V,,กล้องถ่ายรูปหลุดมือผมตกน้ำไป,,ตกลงไปในน้ำ,fall; submerge,,
192,ตกราง,ตกราง,derail,V,,ในปีหนึ่งๆ ยังมีอุบัติเหตุรถไฟตกรางอยู่บ่อยๆ แต่มักไม่ร้ายแรง,,รถไฟแล่นพลาดออกจากราง,go off the rails,,
193,ตรงจุด,ตรงจุด,direct to the point,V,ถูกจุด,รัฐบาลยังแก้ไขปัญหาไม่ตรงจุดนักทำให้เศรษฐกิจยังไม่ฟื้นตัว,,,,,
194,ตราบใด,ตราบใด,as long as,CONJ,"จนถึง, เมื่อ",ตราบใดที่คุณพ่อเธอยังมีชีวิตอยู่เธอก็จะเป็นโสดอยู่ตราบนั้น,,,so long as,,
195,ตลาดโลก,ตลาดโลก,world market,N,,ผลจากวิกฤตการณ์น้ำมันทำให้น้ำมันในตลาดโลกราคาสูงขึ้น,,แหล่งซื้อขายทั่วโลก,global market,,
196,ตั้งข้อหา,ตั้งข้อหา,allege,V,ตั้งข้อกล่าวหา,เจ้าหน้าที่ตำรวจได้ตั้งข้อหาผู้ต้องหาว่าฆ่าผู้อื่นตายโดยไตร่ตรองไว้ก่อน,,ตั้งคำกล่าวหาบุคคลว่าได้กระทำความผิดอาญา,accuse; charge,,
197,ตัดไม้ทำลายป่า,ตัดไม้ทำลายป่า,deforest,V,,ชาวบ้านตัดไม้ทำลายป่าในเขตต้นน้ำลำธารเพื่อใช้พื้นที่ทำไร่เลื่อนลอย,,,,,
198,ตัวจริง,ตัวจริง,life-size,N,,มีรูปเขาขนาดตัวจริงอยู่ในห้องโถง,ตัวปลอม,,life-like,,
199,ตัวจริง,ตัวจริง,on ground player,N,,นักฟุตบอลที่เป็นตัวจริงกำลังฝึกซ้อมอยู่ในสนาม,ตัวสำรอง,นักกีฬาตัวจริงที่ทำการแข่งขัน,,,
200,ตัวตายตัวแทน,ตัวตายตัวแทน,successor,N,ตัวแทน,ลูกชายคนโตสามารถเป็นตัวตายตัวแทนของคุณพ่อในการบริหารกิจการได้,,บุคคลที่มาสืบช่วงภารกิจของผู้ที่ตายไป,,,
201,ตัวถ่วง,ตัวถ่วง,hindrance,N,ตัวถ่วงความเจริญ,ตัวถ่วงสำคัญในการสร้างสันติภาพในตะวันออกกลางก็คือผู้นำสหรัฐอเมริกา,,,barrier; obstruction; impediment,,
202,คนเขียน,คนเขียน,author,N,"ผู้เขียน, นักเขียน, ผู้แต่ง",คนเขียนบทกวีเรื่องฤดูกาลได้แรงบันดาลใจจากสถานการณ์หนึ่งของสังคมในช่วงนั้น,,ผู้แต่งหนังสือ,writer; playwright; poet; essayist; novelist,คน,
203,ดีพาร์ทเมนต์สโตร์,ดีพาร์ทเมนต์สโตร์,department store,N,ห้างสรรพสินค้า,ยอดขายหนังสือดีขึ้นบ้างเมื่อร้านหนังสือที่อยู่ในดีพาร์ทเมนต์สโตร์ได้ช่วยดึงยอดขายเอาไว้,,,,แห่ง,
204,ต้นเดือน,ต้นเดือน,beginning of month,N,,หนังสือสตรีสารฉบับแรกออกสู่ตลาดในฐานะนิตยสารรายปักษ์เมื่อต้นเดือนมีนาคม 2491,ปลายเดือน,ช่วงแรกๆ ของเดือน,first part of the month,,
205,ต้มจืด,ต้มจืด,soup,N,แกงจืด,เมื่อได้ที่นั่งตั้งวงเรียบร้อยสำรับกับข้าวเริ่มทยอยมามีทั้งแกงเผ็ด ต้มจืด ขนมจีน ผัดหมี่มากมายจนไม่รู้จะกินอะไรดี,,กับข้าวที่ปรุงเป็นน้ำ รสไม่เผ็ด,broth,,
206,ตั้งคำถาม,ตั้งคำถาม,pose a question,V,"เสนอคำถาม, ถาม, ซักถาม",นักศึกษาได้ตั้งคำถามที่น่าสนใจไว้หลายประเด็นในการสัมนา,,,ask a question,,
207,ตั้งเนื้อตั้งตัว,ตั้งเนื้อตั้งตัว,establish oneself,V,"ตั้งตัว, ก่อร่างสร้างตัว",เมื่อเขาออกจากคุกนายตำรวจใหญ่ผู้หนึ่งให้ทุนรอนออกมาตั้งเนื้อตั้งตัวประกอบธุรกิจ,,ตั้งฐานะหรือตั้งหลักฐาน,set oneself up (e.g. in business),,
208,ตั้งเนื้อตัวตัว,ตั้งเนื้อตั้งตัว,prepare,V,เตรียมตัว,เจ้าศัตรูตัวร้ายวิ่งพรวดออกมาโดยไม่ทันได้ตั้งเนื้อตั้งตัว,,,check oneself,,
209,ตั้งมาตรฐาน,ตั้งมาตรฐาน,set a standard,V,,ศูนย์อำนวยการฝึกอบรมพนักงานใหม่ตั้งมาตรฐานและคุณภาพไว้สูงจนปฏิบัติตามได้ยาก,,กำหนดมาตรฐาน,establish a standard,,
210,ตากผ้า,ตากผ้า,dry clothes in the sun,V,,แม่ตากผ้าไว้กลางแดด,,,dry clothes in the air,,
211,ตายหมู่,ตายหมู่,die en mass,V,,โรคระบาดที่แพร่ไปอย่างรวดเร็วทำให้ประชาชนบาดเจ็บและตายหมู่เป็นจำนวนมาก,,เสียชีวิตเป็นจำนวนมาก,die in massive numbers,,
212,ตารางวา,ตารางวา,square wah,CLAS,,"ที่ดินผืนนี้ราคาตารางวาละ 10,000 บาท",,มาตราวัดของที่ดิน,square two-meters,,
213,ตำรับ,ตำรับ,creator,N,,ขนมโบราณชนิดต่างๆ นับวันจะเลือนหายไปพร้อมกับเจ้าของตำรับ,,,inventor,,
214,ตำรับ,ตำรับ,text,N,"ตำรับตำรา, หนังสือเรียน",ลูกๆ ควรมีห้องเป็นของตนเองเพื่อใช้ทำงานท่องบ่นตำรับตาราได้ตามใจ,,,textbook; subject matter,,
215,ติดต่อสอบถาม,ติดต่อสอบถาม,ask for information,V,สอบถาม,ผู้สนใจที่จะสมัคทุนการศึกษาติดต่อสอบถามรายละเอียดและขอใบสมัครได้ที่กองวิเทศสัมพันธ์,,,contact for information,,
216,ตีความหมาย,ตีความหมาย,interpret,V,"ตีความ, แปลความ",เด็กจะตีความหมายของรูปร่างสิ่งของแตกต่างกันไปตามอายุของเขา,,"กำหนดความหมาย, ให้ความหมาย",comprehensible; explain,,
217,ตีค่า,ตีค่า,appraise,V,ให้ค่า,สิ่งที่มีคุณค่าทางจิตใจไม่อาจตีค่าเป็นเงินทองได้,,,estimate; asses (a price); evaluate,,
218,ตีโค้ง,ตีโค้ง,turn around,V,เข้าโค้ง,ส่วนหัวของเครื่องบินหักแล้วตีโค้งกลับก่อนจะควบสว่านพุ่งจมดิ่งไปในเหลือบเขาสูง,,,wrench; move in a curved or circular path,,
219,ตีตื้น,ตีตื้น,improve,V,,คะแนนนิยมของฝ่ายค้านเริ่มตีตื้นขึ้นมาตามลำดับ,,ค่อยดีขึ้น (ใช้ในลักษณะเช่นการแข่งขันที่ตกอยู่ในฐานะเสียเปรียบแล้วกลับฟื้นตัวขึ้น),"get better; regain (e.g. ability, status)",,
220,ตึกสูง,ตึกสูง,high-rise building,N,อาคารสูง,ถนนธุรกิจในกรุงเทพเช่นถนนสีลมรายล้อมด้วยตึกสูงระฟ้า,,,skyscraper; tall building,,
221,ตู้เก็บเอกสาร,ตู้เก็บเอกสาร,file cabinet,N,,ที่ทำงานใหม่ของเขามีเพียงโต๊ะเก้าอี้ทำงานและตู้เก็บเอกสารเท่าที่จำเป็นเท่านั้น,,,filing cabinet,,
222,ตู้เอทีเอ็ม,ตู้เอทีเอ็ม,Automatic Teller Machine,N,,มีผู้ร้ายบุกทุบตู้เอทีเอ็มเพื่อหวังขโมยเงินสด,,ตู้กดเงินอัตโนมัติ,ATM booth; ATM outlet,,
223,ถอนหงอก,ถอนหงอก,disrespect someone,V,,,,"ไม่นับถือความเป็นผู้ใหญ่, พูดว่าให้เสียผู้ใหญ่",show a lack of respect,,(สำนวน)
224,ถ่อมตน,ถ่อมตน,be modest,V,"ถ่อมตัว, อ่อนน้อมถ่อมตัว, นอบน้อมถ่อมตน",หลวงพ่อท่านปฏิบัติตนอย่างเรียบง่าย รักสันโดษ ชอบถ่อมตนและเคร่งครัดในพระธรรมวินัย,,,be humble; act modestly; act humbly,,
225,ถ้อยคำสำนวน,ถ้อยคำสำนวน,idiomatic wording,N,สำนวนโวหาร,หนังสือของเขาเต็มไปด้วยถ้อยคำสำนวนแบบกวี,,ถ้อยคำที่เรียบเรียงสละสลวย,idiom,,
226,ถั่งโถม,ถั่งโถม,strike,V,ถาโถม,คลื่นใหญ่ยังคงถั่งโถมเข้ากราบเรือเป็นระยะ,,"ถลาเข้าใส่, พุ่งเข้าใส่",hit,,
227,ถ่านไฟ,ถ่านไฟ,embers,N,,เขาเหยียบลงไปบนถ่านไฟที่กำลังคุ,,,,,
228,ถ่านไม้,ถ่านไม้,charcoal,N,ถ่าน,ถ่านไม้และฟืนเป็นเชื้อเพลิงประจำบ้านที่คนไทยนิยมใช้มาแต่โบราณกาลแล้ว,,ไม้ที่เผาจนดำใช้เป็นเชื้อเพลิง,,,
229,ถ่ายเสียง,ถ่ายเสียง,transcribe,V,ถ่ายถอดเสียง,นักภาษาศาสตร์ถ่ายเสียงภาษาถิ่นเป็นสัทอักษร,,,record,,
230,ถ้าหาก,ถ้าหาก,if,CONJ,"แม้ว่า, หากว่า, ถ้าหากว่า",ชาติบ้านเมืองจะสลายลงถ้าหากเราไม่สามัคคีกัน,,,providing (that); provided (that); supposing; in case,,
231,ถึงแก่ชีวิต,ถึงแก่ชีวิต,cause death,V,"เสียชีวิต, ตาย",สารพิษบางอย่างมีประสิทธิภาพการทำลายสูงมากและเป็นอันตรายถึงแก่ชีวิตมนุษย์,,,lose one's life; pass away; die,,
232,ถือได้ว่า,ถือได้ว่า,be held to be,V,ถือว่า,การซื้อภาพสีน้ำมันที่มีชื่อเสียงนั้นอาจถือได้ว่าเป็นการลงทุนอย่างหนึ่ง,,,be looked upon as,,
233,ถือตน,ถือตน,hold oneself to be,V,,ในสมัยแรกเริ่มอารยธรรมตะวันตกนั้นพวกกรีกถือตนว่าฉลาดเฉลียวยิ่งกว่าชนชาติอื่น,,คิดเอาว่าตนเป็นอย่างไร,evaluate oneself; look down on others,,
234,ถูกเนื้อต้องตัว,ถูกเนื้อต้องตัว,touch someone,V,,คำว่าลวนลามมักใช้ในการที่ชายถูกเนื้อต้องตัวหญิงในลักษณะที่ไม่สุภาพ,,แตะต้องหรือสัมผัสเนื้อตัว,,,
235,ทรงคุณค่า,ทรงคุณค่า,be valuable,V,,พิพิธภัณฑ์เก็บรวบรวมเอกสารหลักฐานศิลปวัตถุที่ทรงคุณค่าเพื่อให้เป็นศูนย์การศึกษาค้นคว้างานศิลปกรรมและวัฒนธรรม,,มีคุณค่า,,,
236,ทรงคุณภาพ,ทรงคุณภาพ,be of good quality,V,มีคุณภาพ,,,,be of high quality,,
237,ทรงสภาพ,ทรงสภาพ,be in a state of,V,คงสภาพ,,,,be in a good condition of,,
238,ทรัสต์,ทรัสต์,trust company,N,บริษัทเงินทุนหลักทรัพย์,ในช่วงภาวะเศรษฐกิจตกต่ำมีทรัสต์ปิดกิจการไปกว่า 20 แห่ง,,,finance company,,
239,ทองคำรูปพรรณ,ทองคำรูปพรรณ,gold ornament,N,ทองรูปพรรณ,"ราคาทองคำรูปพรรณในขณะนี้ขึ้นไปถึงบาทละ 6,000 บาท",,เครื่องประดับที่ทำด้วยทองคำ,gold decoration,,
240,ทะเบียนการค้า,ทะเบียนการค้า,business registration,N,,,,ใบสำคัญที่แสดงหลักฐานในการประกอบการธุรกิจ,,,
241,ทะเบียนคนไข้,ทะเบียนคนไข้,patient's record,N,,โรงพยาบาลใช้คอมพิวเตอร์ในการทำทะเบียนคนไข้,,บัญชีรายชื่อและประวัติของคนไข้,patient's registration,,
242,ทะเบียนรถ,ทะเบียนรถ,motor vehicle registration,N,ทะเบียนรถยนต์,กระทรวงคมนาคมได้ทำการเปลี่ยนป้ายทะเบียนรถใหม่นัยว่าเพื่อทำให้มีเบอร์รองรับจำนวนรถยนต์ที่เพิ่มขึ้น,,"ใบสำคัญที่แสดงหลักฐานผู้เป็นเจ้าของรถยนต์, รูปร่างลักษณะของรถ",car license,,
243,ทางลง,ทางลง,route of descent,N,,เด็กๆ แอบตรงมุมตึกใกล้บันไดทางลงคอยส่งเสียงแกล้งทำให้คนเดินผ่านตกใจ,ทางขึ้น,,way down,,
244,ทางลับ,ทางลับ,secret passageway,N,,ทางลับของถ้ำสามารถทะลุไปอีกถ้ำหนึ่งได้,,,hidden passage,,
245,ทำงานบ้าน,ทำงานบ้าน,do housework,V,,แม่ยังหาคนช่วยทำงานบ้านไม่ได้เลย,,,do household chores,,
246,ทำนองเดียวกับ,ทำนองเดียวกับ,likewise,CONJ,เช่นเดียวกับ,แม่บอกว่าตัวฉันขาวขึ้นทำนองเดียวกับเพื่อนบ้านบางคนที่ทักทายฉันในทำนองนี้,,,in the same way as; in the same manner as,,
247,ทำเลทอง,ทำเลทอง,golden location,N,ทำเลดี,ร้านค้าแถวนี้กลายเป็นแหล่งทำเลทองไปในทันทีหลังจากมีการสร้างห้างสรรพสินค้าขึ้น,,,good spot; good location,,
248,ที่ผ่านมา,ที่ผ่านมา,preceding,ADV,,นี่ถือเป็นการเยือนสหรัฐครั้งแรกของผู้นำหมีขาวในรอบศตวรรษที่ผ่านมาเพื่อรื้อฟื้นความสัมพันธ์ระหว่างประเทศ,,,last,,
249,ทีมงาน,ทีมงาน,work team,N,คณะทำงาน,ความสำเร็จของงานต้องยกให้ทีมงานที่อยู่เบื้องหลังของงาน,,,working team,,
250,ที่ลับตา,ที่ลับตา,unseen place,N,,นักศึกษาแอบพากันไปพลอดรักตามสุมทุมพุ่มไม้และที่ลับตาคน,,ที่ที่มิดชิดหรือห่างไกลจนพ้นสายตา,blind spot,,
251,ทุกแง่ทุกมุม,ทุกแง่ทุกมุม,every aspect,N,,เขาได้เห็นชีวิตมาทุกแง่ทุกมุมแล้ว,,,looked at from all directions; seen from all angles,,
252,ทุกชนิด,ทุกชนิด,every kind,N,,ยานยนต์ทุกชนิดจำเป็นต้องใช้เชื้อเพลิง,บางชนิด,,all kinds; all types,,
253,ทุกฝ่าย,ทุกฝ่าย,every side,N,,งานจะสัมฤทธิผลได้ก็ต่อเมื่อได้มีการประสานงานระหว่างทุกหน่วยงานและทุกฝ่ายที่เกี่ยวข้อง,,,all sides; all parties; every group,,
254,ทุกราย,ทุกราย,everyone,N,,ในคริสต์ทศวรรษที่ 1970 ภาษาเบสิกได้รับเลือกโดยผู้ผลิตทุกรายให้เป็นภาษาแรกบนเครื่องไมโครคอมพิวเตอร์,บางราย,,all individuals,,
255,นมข้นหวาน,นมข้นหวาน,sweetened condensed milk,N,นมข้น,,,นมข้นและหวานจัด ทำจากการทำให้น้ำบางส่วนในน้ำนมวัวระเหยไป แล้วใส่น้ำตาล,,,
256,นมยูเอชที,นมยูเอชที,UHT-treated milk,N,,,,นมที่ผ่านการกระบวนการฆ่าเชื้อ,ultra-high temperature-treated milk,,
257,น้องเขย,น้องเขย,younger brother-in-law,N,,บ้านของน้องสาวน้องเขยอยู่ในรั้วเดียวกันกับบ้านคุณพ่อคุณแม่,,สามีของน้องสาว,,,
258,นักจัดรายการ,นักจัดรายการ,DJ (disc jockey),N,ดีเจ,ยามเช้าพ่อมักจะฟังรายการที่นักจัดรายการท่านนี้จัดเป็นประจำ,,ผู้ที่ทำหน้าดำเนินรายการในวิทยุ,program manager; program director,,
259,นักปฏิรูป,นักปฏิรูป,reformer,N,,การชูภาพลักษณ์ของความเป็นนักปฏิรูปของผู้สมัครจากพรรคกลับเป็นจุดอ่อนที่ถูกพรรคตรงข้ามหยิบยกมาโจมตี,,,modernizer; innovator,,
260,นักปรัชญา,นักปรัชญา,philosopher,N,,นักปรัชญาหลายคนเชื่อว่าความฉลาดของมนุษย์เป็นสิ่งยากที่คอมพิวเตอร์จะเลียนแบบได้,,"ผู้รู้, ผู้มีปัญญา",intellectual,,
261,นั่นสิ,นั่นสิ,"Yes, quite so.",INT,นั่นนะซิ,นั่นสิ คุณพูดถูกทีเดียว,,เป็นคำอุทานแสดงความเห็นด้วยกับผู้พูด,Exactly; Quite right,,
262,นับคะแนน,นับคะแนน,count votes,V,,คณะกรรมกรรมเริ่มนับคะแนนหลังจากปิดหีบเลือกตั้ง,,,,,
263,น่าเคารพนับถือ,น่าเคารพนับถือ,be respectable,V,,ท่านไปไหว้พระและสิ่งศักดิ์สิทธิ์ที่น่าเคารพนับถือเกือบทั่วประเทศแล้วเช่น พระธาตุดอยสุเทพ จังหวัดเชียงใหม่ พระธาตุช่อแฮ จังหวัดแพร่,,สมควรจะให้ความเคารพ,be honorable,,
264,น่าใจหาย,น่าใจหาย,breathtaking,ADJ,น่าตกใจ,ราคาหุ้นนั้นตกลงพรวดพราดอย่างน่าใจหาย,,,startling; astounding; astonishing,,
265,นานโข,นานโข,quite long  (time),ADV,นานมาก,โทรศัพท์ดังอยู่นานโขแล้วแต่ไม่มีใครไปรับสาย,,,so long (time); very long (time),,
266,น่าลุ้น,น่าลุ้น,wait expectantly,V,,เมื่อดูตามญัตติที่อภิปรายก็ถือว่าน่าลุ้นอยู่ไม่น้อยว่าฝ่ายค้านจะมีข้อมูลสมคำโวแค่ไหน,,,,,
